disease,rank,source_id,title,year,journal,doi,pmid,status,verification_status,reason
ckd,1,src-ckd-131,Absence of renal cortical anisotropic backscattering artifact in feline chronic kidney disease,2021,,10.1080/01652176.2021.1941397,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ckd,2,src-ckd-025,Resistivity and pulsatility indexes in feline kidney disease: a systematic review,2022,,10.1111/vru.13102,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,3,src-ckd-040,Renal Infiltration of Macrophages in Canine and Feline Chronic Kidney Disease,2019,,10.1016/j.jcpa.2019.05.006,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,4,src-ckd-045,Electrophoretic patterns of proteinuria in feline spontaneous chronic kidney disease,2020,,10.1177/1098612x19827597,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,5,src-ckd-039,Changes in Renal Peritubular Capillaries in Canine and Feline Chronic Kidney Disease,2018,,10.1016/j.jcpa.2018.03.004,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,6,src-ckd-046,Feline abdominal ultrasonography: what’s normal? what’s abnormal? The kidneys and perinephric space,2020,,10.1177/1098612x20917598,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,7,src-ckd-173,Diagnosis of the cat with early chronic kidney disease,2020,,10.12968/coan.2020.0013a,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ckd,8,src-ckd-043,Investigation of hallmarks of carbonyl stress and formation of end products in feline chronic kidney disease as markers of uraemic toxins,2019,,10.1177/1098612x18783858,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ckd,9,src-ckd-120,Supporting quality of life in feline patients with chronic kidney disease,2017,,10.12968/vetn.2017.8.4.200,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ckd,10,src-ckd-086,The nutritional management of feline chronic kidney disease,2015,,10.12968/coan.2015.20.3.162,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,1,src-hcm-181,"Hypertrophic cardiomyopathy in cats: clinical prevalence, risk factors, and outcomes of arterial thromboembolism in a referral population in Tehran, Iran (2020-2024)",2025,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,2,src-hcm-091,A Practical Guide to the New Feline Cardiomyopathy Consensus Statement,2020,,10.12968/vetn.2020.11.8.375,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,3,src-hcm-188,Comparative cardiac macroscopic and microscopic study in cats with hyperthyroidism vs. cats with hypertrophic cardiomyopathy,2023,,10.1080/01652176.2023.2234436,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,4,src-hcm-080,Numerical simulations of flow pattern and particle trajectories in feline aorta for hypertrophic cardiomyopathy heart conditions,2017,,10.1080/19942060.2017.1339640,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,5,src-hcm-086,"ACVIM consensus statement guidelines for the classification, diagnosis, and management of cardiomyopathies in cats",,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,6,src-hcm-186,Population characteristics and survival in 127 referred cats with hypertrophic cardiomyopathy (1997 to 2005),2010,,10.1111/j.1748-5827.2010.00989.x,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,7,src-hcm-041,Impaired cardiac mitochondrial oxidative phosphorylation and enhanced mitochondrial oxidative stress in feline hypertrophic cardiomyopathy,2014,,10.1152/ajpheart.00727.2014,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,8,src-hcm-167,Heat shock proteins and small nucleolar RNAs are dysregulated in a Drosophila model for feline hypertrophic cardiomyopathy,,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,9,src-hcm-153,Echocardiographic assessment of left ventricular geometry and the mitral valve apparatus in cats with hypertrophic cardiomyopathy,,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
hcm,10,src-hcm-102,Feline cardiomyopathies,,,10.22233/9781905319534.chap25,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fip,1,src-fip-176,"Analysis of risk factors, clinical data, treatment outcomes for cats with feline infectious peritonitis using GS-441524 (2020–2024)",2025,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fip,2,src-fip-099,Current treatment options for feline infectious peritonitis in the UK,2022,,10.12968/coan.2022.0016,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fip,3,src-fip-090,Feline infectious peritonitis: answers to frequently asked questions concerning FIP and coronavirus,2019,,10.1080/17415349.2019.1629366,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fip,4,src-fip-173,"High-dose induction therapy and treatment termination criteria for feline infectious peritonitis with remdesivir, GS-441524 and adjunctive mefloquine: 46 cases (2023)",2023,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fip,5,src-fip-148,Detection of feline coronavirus mutations in paraffin-embedded tissues in cats with feline infectious peritonitis and controls,,,10.1177/1098612x18762883,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fip,6,src-fip-059,Advances in Molecular Diagnostics and Treatment of Feline Infectious Peritonitis,,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fip,7,src-fip-119,Characteristic clinical signs and blood parameters in cats with Feline Infectious Peritonitis,,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fip,8,src-fip-109,The influence of age and genetics on natural resistance to experimentally induced feline infectious peritonitis,,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fip,9,src-fip-158,Pharmacokinetics of Molnupiravir in Cats with Naturally Occurring Feline Infectious Peritonitis,,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fip,10,src-fip-178,Molecular epidemiology of type I and II feline coronavirus from cats with suspected feline infectious peritonitis in China between 2019 and 2021,,,10.1007/s00705-021-05291-9,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
diabetes,1,src-diabetes-074,Improving owner compliance with therapy of canine and feline diabetes: the American perspective,2025,,10.12968/coan.2023.0057,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
diabetes,2,src-diabetes-110,Comparison of insulin infusion protocols for management of canine and feline diabetic ketoacidosis,2024,,10.1111/vec.13354,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
diabetes,3,src-diabetes-087,2018 AAHA Diabetes Management Guidelines for Dogs and Cats,2018,,10.5326/jaaha-ms-6822,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
diabetes,4,src-diabetes-080,"Signalment and laboratory findings in cats with diabetes mellitus in Germany: a retrospective review of laboratory submissions of 129,505 cats",2024,,10.1177/1098612x241262669,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
diabetes,5,src-diabetes-056,Incretin therapy in feline diabetes mellitus – a review of the current state of research,2024,,10.1016/j.domaniend.2024.106869,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
diabetes,6,src-diabetes-063,Diabetes Mellitus Drug Discovery: Insights into Targeting Feline and Human Amylin with Small Molecules,2022,,10.1096/fasebj.2022.36.s1.0r529,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
diabetes,7,src-diabetes-046,"Pathophysiology of Prediabetes, Diabetes, and Diabetic Remission in Cats",2023,,10.1016/j.cvsm.2023.02.001,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
diabetes,8,src-diabetes-106,Prednisolone-induced diabetes mellitus in the cat: a historical cohort:,2021,,10.1177/1098612x20943522,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
diabetes,9,src-diabetes-091,"Survival, remission, and quality of life in diabetic cats",2023,,10.1111/jvim.16625,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
diabetes,10,src-diabetes-033,Glargine versus regular insulin protocol in feline diabetic ketoacidosis,2021,,10.1111/vec.13062,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
ibd,1,src-ibd-091,Nutritional management of feline chronic enteropathy,2021,,10.12968/coan.2021.0031,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ibd,2,src-ibd-103,"Endoscopic, biopsy, and histopathologic guidelines for the evaluation of gastrointestinal inflammation in companion animals",,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ibd,3,src-ibd-084,Outcome of chronic inflammatory enteropathy in cats: 65 cases (2011-2021),2022,,10.1111/jsap.13569,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ibd,4,src-ibd-061,Detection of Feline Coronavirus in Captive Felidae in the USA,2014,,10.1177/104063870201400615,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ibd,5,src-ibd-083,Immunohistochemical diagnosis of alimentary lymphomas and severe intestinal inflammation in cats,,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ibd,6,src-ibd-104,Escherichia coli-induced granulomatous colitis in a cat,,,10.1177/2055116919836537,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ibd,7,src-ibd-054,Amelioration of DSS-induced colitis in mice by TNF-α-stimulated mesenchymal stem cells derived from feline adipose tissue via COX-2/PGE2 activation,,,10.4142/jvs.23106,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ibd,8,src-ibd-093,The conundrum of feline trichomonosis: the more we learn the ‘trickier’ it gets,,,10.1177/1098612x17693499,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ibd,9,src-ibd-031,"Carbohydrate Malabsorption Is a Feature of Feline Inflammatory Bowel Disease but Does Not Increase Clinical Gastrointestinal Signs1,2",,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
ibd,10,src-ibd-120,Design of a Simplified Histopathologic Model for Gastrointestinal Inflammation in Dogs,,,10.1177/0300985813511123,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
obesity,1,src-obesity-053,Missense variants in MC4R gene are associated with obesity in cats,2025,,10.1007/s11259-025-10700-4,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
obesity,2,src-obesity-062,Insights into the interplay between gut microbiota and lipid metabolism in the obesity management of canines and felines,2024,,10.1186/s40104-024-01073-w,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
obesity,3,src-obesity-056,Intragastric botulinum toxin‐A injection: A novel approach to successfully manage feline obesity as an alternative technique to conventional treatment,2025,,10.1002/vrc2.1030,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
obesity,4,src-obesity-082,Feline Comorbidities: A nutritional approach to management,2025,,10.1177/1098612x251320877,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
obesity,5,src-obesity-065,Evidence of obesity-induced inflammatory changes in client-owned cats,2024,,10.14202/vetworld.2024.1685-1692,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
obesity,6,src-obesity-050,Changes in Serum Proteins in Cats with Obesity: A Proteomic Approach,2025,,10.3390/ani15010091,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
obesity,7,src-obesity-070,Characterization of feline nonsteroidal anti-inflammatory drug activated gene-1 (fNAG-1) and its protective function in kidney cells,2025,,10.1186/s12917-025-04781-1,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
fcv,1,src-fcv-282,"Cross-species characterization of feline parvovirus and Feline-Origin canine parvovirus Southern China (2023-2024): insights into epidemiology, genetic evolution and recombination",2025,,,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fcv,2,src-fcv-117,"Prevalence of feline calicivirus and the distribution of serum neutralizing antibody against isolate strains in cats of Hangzhou, China",2021,,10.4142/jvs.2021.22.e73,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fcv,3,src-fcv-221,Genetic Evolution and Biological Characteristics of Feline Caliciviruses Isolated from Dogs,2023,,10.1155/2023/1145176,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fcv,4,src-fcv-122,"Immunogenicity of a new inactivated vaccine against feline panleukopenia virus, calicivirus, and herpesvirus-1 for cats",2022,,10.14405/kjvr.20220042,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fcv,5,src-fcv-202,Incidence and sero-surveillance of feline viruses in Korean cats residing in Gyeonggi-do,2022,,10.14405/kjvr.20220018,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fcv,6,src-fcv-269,Prevalence of feline calicivirus in Korean cats determined by an improved real-time RT-PCR assay,2023,,10.7853/kjvs.2023.46.2.123,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fcv,7,src-fcv-208,High-resolution melting analysis for simultaneous detection and discrimination between wild-type and vaccine strains of feline calicivirus,2023,,10.1080/01652176.2023.2272188,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fcv,8,src-fcv-142,Development and application of a dual ERA method for the detection of Feline Calicivirus and Feline Herpesvirus Type I,2020,,10.1186/s12985-023-02020-3,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fcv,9,src-fcv-277,"Patterns of seroprevalence of feline viruses among domestic cats (Felis catus) and Pallas’ cats (Otocolobus manul) in Daursky Reserve, Russia",2015,,10.1139/cjz-2015-0006,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
fcv,10,src-fcv-225,2020 AAHA/AAFP Feline Vaccination Guidelines,,,10.1177/1098612x20941784,,ingested,title_only,verification_status=title_only; status=ingested; placeholder or first-pass triage text present
cancer,1,src-cancer-052,Immunohistochemical Expression and Prognostic Value of COX-2 and Alpha-Smooth Muscle Actin-positive Cancer-associated Fibroblasts in Feline Mammary Cancer,2024,,10.21873/invivo.13478,38418156,deep_extracted,abstract_weighted,verification_status=abstract_weighted; status=deep_extracted; placeholder or first-pass triage text present
cancer,2,src-cancer-023,Regional Variations in and Key Predictors of Feline Tumor Malignancy: A Decade-Long Retrospective Study in Korea,2024,,,39457919,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
cancer,3,src-cancer-024,"Descriptive epidemiology of canine and feline cancer in California, United States from 2000 to 2019",2026,,10.1016/j.tvjl.2026.106612,41763637,deep_extracted,deep_extracted,verification_status=deep_extracted; status=deep_extracted; placeholder or first-pass triage text present
cancer,4,src-cancer-039,"Nutritional Concerns for Cancer, Cachexia, Frailty, and Sarcopenia in Canine and Feline Pets",2021,,10.1016/j.cvsm.2021.01.012,33773650,deep_extracted,abstract_weighted,verification_status=abstract_weighted; status=deep_extracted; placeholder or first-pass triage text present
cancer,5,src-cancer-037,A new detection method for canine and feline cancer using the olfactory system of nematodes,2022,,10.1016/j.bbrep.2022.101332,36111250,deep_extracted,abstract_weighted,verification_status=abstract_weighted; status=deep_extracted; placeholder or first-pass triage text present
cancer,6,src-cancer-045,Treatment of mammary cancer with focused ultrasound: A pilot study in canine and feline patients,2023,,10.1016/j.ultras.2023.106974,36917874,deep_extracted,abstract_weighted,verification_status=abstract_weighted; status=deep_extracted; placeholder or first-pass triage text present
cancer,7,src-cancer-098,Emerging Biomarkers and Targeted Therapies in Feline Mammary Carcinoma,2021,,10.3390/vetsci8080164,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
cancer,8,src-cancer-107,A new domestic cat genome assembly based on long sequence reads empowers feline genomic medicine and identifies a novel gene for dwarfism,2020,,10.1371/journal.pgen.1008926,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
cancer,9,src-cancer-103,Letrozole + ribociclib versus letrozole + placebo as neoadjuvant therapy for ER+ breast cancer (FELINE trial),2020,,10.1200/jco.2020.38.15_suppl.505,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
cancer,10,src-cancer-110,Role of feline sarcoma‑related protein in the viability and apoptosis of bladder cancer cells,2019,,10.3892/mmr.2019.10204,,ingested,abstract_weighted,verification_status=abstract_weighted; status=ingested; placeholder or first-pass triage text present
